Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
16;Callophrys rubi;-5.42;0.423469388;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Polyommatus coridon;-5.22;0.734693878;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Limenitis camilla;-7.83;0.494897959;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Boloria selene;-6.25;0.994897959;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Boloria euphrosyne;-6.96;0.637755102;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Argynnis adippe;-6.22;0.780612245;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Argynnis aglaja;-4.62;0.806122449;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Argynnis paphia;-5.53;0.862244898;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Euphydryas aurinia;-6.97;0.928571429;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Melanargia galathea;-6.92;0.581632653;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Hipparchia semele;-3.74;0.698979592;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Pyronia tithonus;-6.13;0.408163265;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Maniola jurtina;-4.54;0.780612245;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Aphantopus hyperantus;-6.52;0.448979592;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Gonepteryx rhamni;-8.31;0.785714286;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Aglais io;-7.6;0.979591837;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Pieris rapae;-9.07;0.892857143;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Pieris napi;-8.21;0.668367347;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Pieris brassicae;-8.1;0.607142857;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Lycaena phlaeas;-6.73;0.551020408;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Cupido minimus;-4.98;0.653061224;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Aricia agestis;-6.23;0.581632653;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Polyommatus icarus;-7.04;0.933673469;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Celastrina argiolus;-5.89;0.540816327;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Lasiommata megera;-7.33;0.387755102;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
29;Pieris rapae;-6.1;0.7;64;;64;Britain;Appearance Mean First;Temporal;1883-1947;0.001;52.5;64;Multivoltine
29;Anthocharis cardamines;-5.6;0.5;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Univoltine
29;Maniola jurtina;-4.2;0.8;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Univoltine
29;Lycaena phlaeas;-9.2;1.8;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Multivoltine
29;Celastrina argiolus;-8.7;1.4;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Multivoltine
29;Coenonympha pamphilus;-7.1;1.2;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Multivoltine
29;Polyommatus icarus;-5.5;1.2;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Multivoltine
29;Ochlodes sylvanus;-5.4;1;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Univoltine
29;Vanessa cardui;-10.7;3.8;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.05;52.5;81;Multivoltine
29;Vanessa atalanta;-9.5;2.3;81;;81;Britain;Appearance Mean First;Temporal;1883-1947/1976-1993;0.001;52.5;81;Univoltine
32;Aglais io;-7.100041763;0.310106422;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Aglais urticae;-4.498209166;0.331459796;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Anthocharis cardamines;-4.712682562;0.433396131;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Apatura iris;-3.433043719;1.174778078;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Aphantopus hyperantus;-0.417172276;0.464554999;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Aporia crataegi;-3.748325601;0.758590882;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Araschnia levana;-3.024144772;0.475884353;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Argynnis aglaja;-1.465562801;1.250492648;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Argynnis paphia;-1.165576542;0.443084575;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Aricia agestis;1.830608829;0.834791288;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Boloria selene;-2.764566362;1.469515017;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Brenthis ino;-1.900271504;1.710579198;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Callophrys rubi;-4.088703199;1.114625201;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Carterocephalus palaemon;-2.55145896;0.890521777;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Celastrina argiolus;-3.277859807;0.649513592;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Coenonympha arcania;-3.588645241;0.97398946;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Coenonympha pamphilus;-1.124629485;0.406929903;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Colias hyale;4.24168515;0.79625999;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Multivoltine
32;Cupido minimus;-1.206337819;0.994835963;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Cyaniris semiargus;1.531755347;0.89139521;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Erebia ligea;1.770388611;1.068487895;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Erynnis tages;-0.942757456;0.995239448;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
